product_id,product_name,current_price,price,percent_discount,rating,series,link,brand_id,genre_id
010269,Cáp nối dài 3.5mm Pisen YP04,25000.0,50000.0,50,58,,https://www.thegioididong.com/cap-dien-thoai/cap-noi-dai-35mm-2m-pisen-yp04,0122,0103
010270,Cáp Type C 1m iWALK Crazy Link CSC003,199000.0,199000.0,0,9,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-iwalk-csc003-den,0121,0103
010271,Cáp Lightning 1m iWALK Crazy Link CSC002,199000.0,199000.0,0,10,,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-1m-iwalk-csc002-den,0121,0103
010272,Tai nghe Bluetooth AirPods 2 Lightning Charge Apple MV7N2,2690000.0,4390000.0,38,327,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-2-apple-mv7n2-trang,0115,0104
010273,Tai nghe Bluetooth AirPods Pro MagSafe Charge Apple MLWK3,4690000.0,6790000.0,30,199,,https://www.thegioididong.com/tai-nghe/bluetooth-airpods-pro-magsafe-charge-apple-mlwk3,0115,0104
010274,Tai nghe Có Dây Apple MMTN2,590000.0,790000.0,25,219,,https://www.thegioididong.com/tai-nghe/tai-nghe-earpods-cong-lightning-apple-mmtn2,0115,0104
010275,Tai nghe Bluetooth AirPods 3 Lightning Charge Apple MPNY3,4290000.0,5390000.0,20,70,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-3-lightning-charge-apple-mpny3-trang,0115,0104
010276,Tai nghe Bluetooth AirPods Pro (2nd Gen) MagSafe Charge Apple MQD83,5990000.0,6990000.0,14,90,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-pro-2-magsafe-charge-apple-mqd83-trang,0115,0104
010277,Tai nghe Bluetooth AirPods 3 Wireless Charge Apple MME73,4690000.0,5490000.0,14,154,,https://www.thegioididong.com/tai-nghe/airpods-3-hop-sac-khong-day,0115,0104
010278,Tai nghe Bluetooth Chụp Tai AirPods Max Apple,12490000.0,13990000.0,10,3,,https://www.thegioididong.com/tai-nghe/bluetooth-airpods-max-apple,0115,0104
010279,Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 Pro R510N,3390000.0,4990000.0,32,77,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-galaxy-buds2-pro,0110,0104
010280,Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 R177N Trắng,1990000.0,2990000.0,33,40,,https://www.thegioididong.com/tai-nghe/samsung-galaxy-buds-2-r177n-trang,0110,0104
