product_name,current_price,price,percent_discount,rating,link,brand_id,series,device
Samsung Inverter 9.5 Kg WW95T4040CE/SV,7.890.000₫,11.090.000₫,-28%,160,https://www.dienmayxanh.com/may-giat/samsung-ww95t4040ce-sv,02,,Washing Machine
Samsung Inverter 9.5 Kg WA95CG4545BDSV Mới 2023,6.790.000₫,8.790.000₫,-22%,24,https://www.dienmayxanh.com/may-giat/may-giat-samsung-9-5kg-wa95cg4545bdsv,02,,Washing Machine
Samsung Inverter 9.5 Kg WW95TA046AX/SV,7.890.000₫,12.290.000₫,-35%,205,https://www.dienmayxanh.com/may-giat/samsung-ww95ta046ax-sv,02,,Washing Machine
Samsung Inverter 12 Kg WA12CG5745BVSV Mới 2023,8.290.000₫,11.090.000₫,-25%,82,https://www.dienmayxanh.com/may-giat/may-giat-samsung-12kg-wa12cg5745bvsv,02,,Washing Machine
Samsung Inverter 9 Kg WW90T3040WW/SV,6.990.000₫,10.000.000₫,-30%,41,https://www.dienmayxanh.com/may-giat/samsung-inverter-9-kg-ww90t3040ww-sv,02,,Washing Machine
Samsung Inverter 12 Kg WA12CG5886BVSV Mới 2023,10.190.000₫,13.090.000₫,-22%,35,https://www.dienmayxanh.com/may-giat/may-giat-samsung-12kg-wa12cg5886bvsv,02,,Washing Machine
Samsung Inverter 13 Kg WW13T504DAB/SV,12.990.000₫,21.190.000₫,-38%,102,https://www.dienmayxanh.com/may-giat/samsung-inverter-13-kg-ww13t504dab-sv,02,,Washing Machine
Samsung Inverter Giặt 9.5 Kg - Sấy 6 Kg WD95T754DBX/SV,12.890.000₫,16.590.000₫,-22%,499,https://www.dienmayxanh.com/may-giat/say-samsung-addwash-wd95t754dbx-sv,02,,Washing Machine
Samsung Inverter 13 Kg WW13T504DAW/SV,11.990.000₫,19.190.000₫,-37%,108,https://www.dienmayxanh.com/may-giat/samsung-inverter-13-kg-ww13t504daw-sv,02,,Washing Machine
Samsung Inverter 14 Kg WA14CG5745BVSV Mới 2023,10.190.000₫,13.090.000₫,-22%,35,https://www.dienmayxanh.com/may-giat/may-giat-samsung-14kg-wa14cg5745bvsv,02,,Washing Machine
Samsung Inverter Giặt 14 Kg - Sấy 8 Kg WD14TP44DSB/SV,16.450.000₫,25.690.000₫,-35%,31,https://www.dienmayxanh.com/may-giat/say-samsung-wd14tp44dsb-sv,02,,Washing Machine
Samsung Inverter 23 Kg WA23A8377GV/SV,16.450.000₫,18.990.000₫,-13%,13,https://www.dienmayxanh.com/may-giat/samsung-inverter-23-kg-wa23a8377gv-sv,02,,Washing Machine
Samsung Inverter 16 Kg WA16R6380BV/SV,9.990.000₫,15.000.000₫,-33%,21,https://www.dienmayxanh.com/may-giat/samsung-wa16r6380bv-sv,02,,Washing Machine
Samsung Inverter 14 Kg WA14CG5886BVSV Mới 2023,12.190.000₫,15.090.000₫,-19%,12,https://www.dienmayxanh.com/may-giat/may-giat-samsung-14kg-wa14cg5886bvsv,02,,Washing Machine
Samsung Inverter 12 Kg WW12TP94DSB/SV,13.790.000₫,22.590.000₫,-38%,200,https://www.dienmayxanh.com/may-giat/samsung-addwash-12kg-ww12tp94dsb-sv,02,,Washing Machine
Samsung Inverter Giặt 11 Kg - Sấy 7 Kg WD11T734DBX/SV,16.990.000₫,21.290.000₫,-20%,183,https://www.dienmayxanh.com/may-giat/say-samsung-11kg-wd11t734dbx-sv,02,,Washing Machine
Samsung Inverter 12 Kg WA12T5360BV/SV,6.990.000₫,13.350.000₫,-47%,35,https://www.dienmayxanh.com/may-giat/samsung-wa12t5360bv-sv,02,,Washing Machine
Samsung Inverter Giặt 12 Kg - Sấy 8 Kg WD12TP34DSX/SV,15.450.000₫,22.590.000₫,-31%,20,https://www.dienmayxanh.com/may-giat/say-samsung-inverter-12-wd12tp34dsx-sv,02,,Washing Machine
